全国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行为流出地，列为流入地,安徽省,北京市,福建省,甘肃省,广东省,广西壮族自治区,贵州省,海南省,河北省,河南省,黑龙江省,湖北省,湖南省,吉林省,江苏省,江西省,辽宁省,宁夏回族自治区,青海省,山东省,山西省,陕西省,上海市,四川省,天津市,西藏自治区,新疆维吾尔自治区,云南省,浙江省,重庆市
南京市,0.027717647,0.046041176,0.240888235,0.205888235,0.125564706,0.323182353,0.0763,0.117670588,0.0266625,0.056823529,0.032670588,0.035664706,1.315074265,,,,,,,,,,,,,,,,,
南通市,0.0132,0.0165,0.029666667,0.043985714,0.0352,0.06858,0.02536,0.03475,0.00978,0.01685,0.0336,0.0179875,0.345459881,,,,,,,,,,,,,,,,,
宁波市,0.00965,0.02044,0.054686667,0.0669,0.035155556,0.059813333,0.04705625,0.054047059,0.01177,0.021275,0.010555556,0.01963,0.41097942,,,,,,,,,,,,,,,,,
上海市,0.035888235,0.125352941,0.456576471,0.366694118,0.307076471,0.670323529,0.250252941,0.222429412,0.073976471,0.111488235,0.062505882,0.085605882,2.768170588,,,,,,,,,,,,,,,,,
绍兴市,0.0093,0.0148,0.0298,0.0453,,0.0524625,0.030383333,0.037183333,0.01294,,,0.0168,0.248969167,,,,,,,,,,,,,,,,,
苏州市,0.0143125,0.023633333,0.099764706,0.118776471,0.0446375,0.133158824,0.092658824,0.118294118,0.01418125,0.04519375,0.016636364,0.038258824,0.759506462,,,,,,,,,,,,,,,,,
台州市,,0.0184,0.0304,0.0576,,,0.02145,,0.01242,,0.009966667,0.0153,0.165536667,,,,,,,,,,,,,,,,,
泰州市,0.008185714,0.0147,0.03316,0.0474,0.0292,0.045833333,0.02208,0.030333333,0.0082,0.02102,0.00985,0.015,0.284962381,,,,,,,,,,,,,,,,,
温州市,0.0053,0.01465,0.030933333,0.055375,0.041875,0.057153846,0.02838,0.03969,0.01143,0.021977778,0.013,0.013657143,0.3334221,,,,,,,,,,,,,,,,,
无锡市,0.0134,0.01957,0.054329412,0.070906667,0.0397,0.074505882,0.03843125,0.073564706,0.013366667,0.02641,0.010866667,0.0185375,0.45358875,,,,,,,,,,,,,,,,,
芜湖市,,,,0.026,0.0321,,0.023175,0.03385,,0.0166,0.0081,0.0096,0.149425,,,,,,,,,,,,,,,,,
宣城市,,,,,,,,,,0.01085,,,0.01085,,,,,,,,,,,,,,,,,
盐城市,0.008416667,,0.028333333,0.0404,0.0249,0.05475,0.0229,0.03715,0.01095,0.017666667,0.0108,0.0099,0.266166667,,,,,,,,,,,,,,,,,
扬州市,0.01,0.016975,0.04245,0.0547,0.024,0.0629,0.019175,0.035128571,0.0093,0.0187625,0.00812,0.012128571,0.313639643,,,,,,,,,,,,,,,,,
镇江市,0.00975,0.02205,0.0249,0.0321,,0.054,0.0281,0.029671429,0.0108,0.018733333,0.007525,0.0135,0.251129762,,,,,,,,,,,,,,,,,
整个区域,0.22095362,0.460047745,1.56778035,1.635419701,0.938944526,2.320617785,0.958223718,1.199069776,0.320723415,0.554367879,0.314057552,0.436661345,10.92686741,,,,,,,,,,,,,,,,,
